panel,gene,reason
EC,TRPM8,below_1pct (72/72767 cells)
EC,TSC2,kept
EC,VANGL2,kept
EC,VASP,kept
EC,VAX2,below_1pct (44/72767 cells)
EC,WDPCP,kept
EC,WNT1,below_1pct (3/72767 cells)
EC,WNT8A,below_1pct (25/72767 cells)
EC,ZBTB16,below_1pct (128/72767 cells)
EC,ZBTB7B,below_1pct (622/72767 cells)
EC,ZNF358,kept
ME,ABCA4,below_1pct (82/72767 cells)
ME,ACVRL1,below_1pct (15/72767 cells)
ME,ADAP2,below_1pct (574/72767 cells)
ME,AKAP13,kept
ME,ALOX15,below_1pct (194/72767 cells)
ME,ALPK2,below_1pct (185/72767 cells)
ME,ALPK3,kept
ME,APELA,kept
ME,APLN,below_1pct (213/72767 cells)
ME,APLNR,below_1pct (13/72767 cells)
ME,BCOR,kept
ME,BMP10,below_1pct (1/72767 cells)
ME,BMP2,kept
ME,BMP4,kept
ME,BMP5,below_1pct (50/72767 cells)
ME,BMP7,kept
ME,BMPR2,kept
ME,BORCS8,kept
ME,BORCS8-MEF2B,missing
ME,BTK,below_1pct (313/72767 cells)
ME,BVES,below_1pct (645/72767 cells)
ME,CACNA1C,kept
ME,CACYBP,kept
ME,CASP8,kept
ME,CCM2,kept
ME,CCM2L,kept
ME,CDH5,below_1pct (51/72767 cells)
ME,CDKN1A,kept
ME,CDKN1B,kept
ME,CDX2,below_1pct (22/72767 cells)
ME,CER1,kept
ME,CHD7,kept
ME,CITED2,kept
ME,COL3A1,below_1pct (13/72767 cells)
ME,COLEC10,below_1pct (78/72767 cells)
ME,CRB2,kept
ME,CRELD1,kept
ME,CRIP1,kept
ME,CSRP3,below_1pct (11/72767 cells)
ME,CXADR,kept
ME,DAND5,below_1pct (143/72767 cells)
ME,DNAAF4,kept
ME,DVL1,kept
ME,DVL2,kept
ME,DYNLL1,kept
ME,DZIP1,kept
ME,ECE1,kept
ME,EEF1AKMT4-ECE2,missing
ME,EOMES,below_1pct (264/72767 cells)
ME,EPHB4,kept
ME,ERBB3,kept
ME,ERBB4,kept
ME,ESM1,below_1pct (4/72767 cells)
ME,FBN1,kept
ME,FCN3,below_1pct (36/72767 cells)
ME,FGF12,kept
ME,FGF8,kept
ME,FKBP1A,kept
ME,FLRT2,kept
ME,FLRT3,below_1pct (366/72767 cells)
ME,FN1,kept
ME,FOXA1,below_1pct (9/72767 cells)
ME,FOXC1,below_1pct (415/72767 cells)
ME,FOXC2,below_1pct (29/72767 cells)
ME,FOXF1,below_1pct (2/72767 cells)
ME,FOXL1,below_1pct (4/72767 cells)
ME,GATA4,below_1pct (119/72767 cells)
ME,GATA5,below_1pct (354/72767 cells)
ME,GDF11,kept
ME,GJA1,kept
ME,GJA5,below_1pct (190/72767 cells)
ME,GLI2,kept
ME,GPC3,kept
ME,HAND1,below_1pct (8/72767 cells)
ME,HAND2,below_1pct (9/72767 cells)
ME,HCK,below_1pct (194/72767 cells)
ME,HDAC9,kept
ME,HEG1,kept
ME,HES7,below_1pct (104/72767 cells)
ME,HEY1,below_1pct (420/72767 cells)
ME,HMGA2,kept
ME,HOPX,below_1pct (38/72767 cells)
ME,HTR2B,below_1pct (154/72767 cells)
ME,ID2,kept
ME,IFT122,kept
ME,IKZF1,kept
ME,IKZF3,kept
ME,IL6ST,kept
ME,INSR,kept
ME,ISL1,below_1pct (251/72767 cells)
ME,ITGA2,kept
ME,ITGA3,kept
ME,ITGA8,below_1pct (59/72767 cells)
ME,ITGB1,kept
ME,ITGB3,below_1pct (50/72767 cells)
ME,ITGB4,kept
ME,JAK2,kept
ME,KAT2A,kept
ME,KAT2B,kept
ME,KDM6A,kept
ME,KDM6B,kept
ME,KLF5,below_1pct (624/72767 cells)
ME,LDB3,below_1pct (407/72767 cells)
ME,LEFTY1,kept
ME,MEF2A,kept
ME,MEF2C,kept
ME,MEF2D,kept
ME,MEGF8,kept
ME,MESD,kept
ME,MESP1,below_1pct (359/72767 cells)
ME,MESP2,below_1pct (387/72767 cells)
ME,MEST,kept
ME,MICAL2,below_1pct (637/72767 cells)
ME,MIXL1,kept
ME,MKKS,kept
ME,MMP23A,missing
ME,MSGN1,below_1pct (1/72767 cells)
ME,MTHFD1,kept
ME,MYBPC3,below_1pct (17/72767 cells)
ME,MYH6,below_1pct (15/72767 cells)
ME,MYH7,below_1pct (7/72767 cells)
ME,MYL2,below_1pct (12/72767 cells)
ME,MYL7,kept
ME,MYOCD,kept
ME,NCOA6,kept
ME,NDRG4,kept
ME,NDUFV2,kept
ME,NF1,kept
ME,NIPBL,kept
ME,NKX2-5,below_1pct (25/72767 cells)
ME,NKX2-6,below_1pct (22/72767 cells)
ME,NOTCH1,kept
ME,NTRK3,kept
ME,ODAM,below_1pct (4/72767 cells)
ME,OXSR1,kept
ME,PCSK5,kept
ME,PDGFB,kept
ME,PDGFRA,kept
ME,PDLIM1,kept
ME,PDLIM2,kept
ME,PDLIM3,kept
ME,PDLIM4,kept
ME,PDLIM5,kept
ME,PDLIM7,kept
ME,PGM5,below_1pct (88/72767 cells)
ME,PHIP,kept
ME,PKD1,kept
ME,PKD2,kept
ME,PKP2,kept
ME,PLCE1,kept
ME,PLVAP,below_1pct (47/72767 cells)
ME,POLR2D,kept
ME,POPDC2,below_1pct (196/72767 cells)
ME,POPDC3,kept
ME,POU4F1,below_1pct (195/72767 cells)
ME,POU4F2,below_1pct (6/72767 cells)
ME,POU6F1,kept
ME,PRICKLE4,below_1pct (106/72767 cells)
ME,PRMT1,kept
ME,PTEN,kept
ME,PTK2,kept
ME,PTPN11,kept
ME,RAMP2,kept
ME,RGS4,below_1pct (229/72767 cells)
ME,SALL1,kept
ME,SCUBE1,kept
ME,SCX,kept
ME,SECTM1,below_1pct (51/72767 cells)
ME,SGCD,kept
ME,SGCG,below_1pct (127/72767 cells)
ME,SGCZ,below_1pct (543/72767 cells)
ME,SH3PXD2B,kept
ME,SHH,below_1pct (9/72767 cells)
ME,SMAD2,kept
ME,SMG9,kept
ME,SMYD4,kept
ME,SNAI1,kept
ME,SNAI2,below_1pct (224/72767 cells)
ME,SOX17,below_1pct (9/72767 cells)
ME,SOX18,below_1pct (79/72767 cells)
ME,SOX4,kept
ME,SOX9,kept
ME,SRF,kept
ME,SRI,kept
ME,SST,below_1pct (125/72767 cells)
ME,STRA6,kept
ME,SYNPO2L,below_1pct (178/72767 cells)
ME,TAB2,kept
ME,TAFAZZIN,kept
ME,TBX1,kept
ME,TBX19,below_1pct (491/72767 cells)
ME,TBX2,below_1pct (5/72767 cells)
ME,TBX20,below_1pct (69/72767 cells)
ME,TBX3,kept
ME,TBX5,below_1pct (40/72767 cells)
ME,TBX6,below_1pct (179/72767 cells)
ME,TBXT,below_1pct (106/72767 cells)
ME,TCAP,below_1pct (78/72767 cells)
ME,TCF15,kept
ME,TCF25,kept
ME,TDGF1,kept
ME,TEK,kept
ME,TGFB1,kept
ME,TGFB2,kept
ME,TGFBR1,kept
ME,TGFBR2,kept
ME,TGFBR3,kept
ME,TH,below_1pct (75/72767 cells)
ME,TIE1,kept
ME,TM4SF1,below_1pct (282/72767 cells)
ME,TNNI3,kept
ME,TSC2,kept
ME,UTY,kept
ME,VEGFA,kept
ME,WT1,below_1pct (24/72767 cells)
ME,ZDHHC16,kept
ME,ZFPM1,kept
ME,ZFPM2,kept
EN,CABP7,below_1pct (90/72767 cells)
EN,CDH20,kept
EN,CLDN1,kept
EN,COL12A1,below_1pct (667/72767 cells)
EN,COL4A2,kept
EN,COL6A1,kept
EN,COL7A1,kept
EN,COL8A1,kept
EN,CPLX2,kept
EN,DUSP1,kept
EN,DUSP2,kept
EN,DUSP4,kept
EN,DUSP5,kept
EN,ELAVL3,below_1pct (294/72767 cells)
EN,EOMES,below_1pct (264/72767 cells)
EN,FGFR2,kept
EN,FN1,kept
EN,FOXA1,below_1pct (9/72767 cells)
EN,FOXA2,below_1pct (582/72767 cells)
EN,FOXF1,below_1pct (2/72767 cells)
EN,FOXP2,below_1pct (564/72767 cells)
EN,GATA4,below_1pct (119/72767 cells)
EN,GATA6,below_1pct (40/72767 cells)
EN,GLI2,kept
EN,GLI3,kept
EN,HHEX,below_1pct (619/72767 cells)
EN,HMGA2,kept
EN,HMP19,missing
EN,HNF4A,below_1pct (53/72767 cells)
EN,HOXC11,missing
EN,ID2,kept
EN,INHBA,kept
EN,ITGA4,kept
EN,ITGA5,kept
EN,ITGA7,kept
EN,ITGAV,kept
EN,ITGB2,below_1pct (81/72767 cells)
EN,ITGB5,kept
EN,KIF16B,kept
EN,LAMA3,kept
EN,LAMB1,kept
EN,LAMB3,below_1pct (81/72767 cells)
EN,LAMC1,kept
EN,LEFTY1,kept
EN,LEFTY2,kept
EN,LHX1,below_1pct (417/72767 cells)
EN,MIXL1,kept
EN,MMP14,kept
EN,MMP15,kept
EN,MMP2,kept
EN,MMP8,missing
EN,MMP9,kept
EN,NIPBL,kept
EN,NODAL,kept
EN,PCSK5,kept
EN,PDGFRA,kept
EN,PHOX2B,below_1pct (2/72767 cells)
EN,PKDCC,kept
EN,POU3F3,below_1pct (19/72767 cells)
EN,RARB,kept
EN,RARRES2,kept
EN,RBPMS2,kept
EN,RXRG,below_1pct (21/72767 cells)
EN,SALL1,kept
EN,SETD2,kept
EN,SIX2,below_1pct (38/72767 cells)
EN,SOX11,kept
EN,SOX17,below_1pct (9/72767 cells)
EN,SOX7,below_1pct (527/72767 cells)
EN,STRA6,kept
EN,TBX20,below_1pct (69/72767 cells)
EN,TCF21,below_1pct (40/72767 cells)
EN,TGFB2,kept
EN,TNF,below_1pct (6/72767 cells)
EN,VTN,below_1pct (26/72767 cells)
MS,CER1,kept
MS,CLASP2,kept
MS,CRB2,kept
MS,CXXC4,kept
MS,DAG1,kept
MS,EOMES,below_1pct (264/72767 cells)
MS,FGF4,below_1pct (321/72767 cells)
MS,FGF8,kept
MS,FOXA2,below_1pct (582/72767 cells)
MS,FZD5,kept
MS,GDF3,kept
MS,GPC3,kept
MS,GSC,below_1pct (67/72767 cells)
