perturbation,cluster,delta_pct,p_enrich,p_deplete,q_enrich,q_deplete,n_cells,prop_pert,prop_ntc,direction
OG0114_NPY,0,10.300067606219772,0.0008999100089991,1.0,0.44025597440255976,1.0,35,0.11428571428571428,0.011285038223516564,none
OG0051_GAST,0,7.382134475520684,0.0013998600139986002,0.9998000199980002,0.44025597440255976,1.0,47,0.0851063829787234,0.011285038223516564,none
OG0248_CL3L1,0,4.489473705738231,0.0028997100289971,0.9998000199980002,0.455979402059794,1.0,89,0.056179775280898875,0.011285038223516564,none
GS0162_FAM3B,0,4.427051733203899,0.06259374062593741,0.9916008399160084,0.913613901767718,1.0,36,0.05555555555555555,0.011285038223516564,none
GS0171_FGF12,0,4.427051733203899,0.06079392060793921,0.9921007899210079,0.913613901767718,1.0,36,0.05555555555555555,0.011285038223516564,none
OG0132_PTHR,0,4.27690158305375,0.010498950104989501,0.9981001899810019,0.7337599573375996,1.0,74,0.05405405405405406,0.011285038223516564,none
GS0484_WNT9B,0,4.27690158305375,0.06999300069993,0.991000899910009,0.913613901767718,1.0,37,0.05405405405405406,0.011285038223516564,none
OG0058_MCH,0,4.2286390347912,0.025697430256974303,0.9969003099690031,0.913613901767718,1.0,56,0.05357142857142857,0.011285038223516564,none
OG0071_EDN3,0,4.204829510981678,0.0096990300969903,0.9984001599840016,0.7337599573375996,1.0,75,0.05333333333333334,0.011285038223516564,none
OG0240_CXCL3,0,4.134654072385185,0.025997400259974,0.9963003699630038,0.913613901767718,1.0,57,0.05263157894736842,0.011285038223516564,none
GS0173_FGF14,0,4.134654072385185,0.0654934506549345,0.9914008599140086,0.913613901767718,1.0,38,0.05263157894736842,0.011285038223516564,none
OG0147_GLUC,0,4.043909970751792,0.0023997600239976003,0.9995000499950005,0.455979402059794,1.0,116,0.05172413793103448,0.011285038223516564,none
OG0062_PAHO,0,4.043909970751792,0.023997600239976002,0.9958004199580042,0.913613901767718,1.0,58,0.05172413793103448,0.011285038223516564,none
GS0106_CO3,0,3.999701305853472,0.07269273072692731,0.9889011098890111,0.913613901767718,1.0,39,0.05128205128205128,0.011285038223516564,none
OG0029_MORN,0,3.871496177648344,0.0344965503449655,0.9951004899510049,0.913613901767718,1.0,60,0.05,0.011285038223516564,none
