cluster,n_cells
0,656
1,1160
2,959
3,812
4,672
5,304
6,187
7,953
8,411
9,659
10,905
11,887
12,813
13,649
14,629
15,903
16,441
17,559
18,1056
19,903
20,284
21,283
22,764
23,390
24,266
25,777
26,251
27,202
28,229
29,645
30,185
31,272
32,222
