perturbation,cluster,delta_pct,p_enrich,p_deplete,q_enrich,q_deplete,n_cells,prop_pert,prop_ntc,direction
GS0322_LEG3,0,17.02335562240147,0.0143985601439856,0.9934006599340066,0.9999000099990001,0.9965694020709572,38,0.42105263157894735,0.25081907535493264,none
GS0212_GKN1,0,16.297402809334322,0.005499450054994501,0.9977002299770023,0.9999000099990001,0.9981001899810019,58,0.41379310344827586,0.25081907535493264,none
GS0482_WNT8B,0,14.203806750221021,0.0664933506649335,0.971002899710029,0.9999000099990001,0.988098617790954,28,0.39285714285714285,0.25081907535493264,none
OG0130_INSL6,0,13.627769883861573,0.0638936106389361,0.9724027597240276,0.9999000099990001,0.988098617790954,31,0.3870967741935484,0.25081907535493264,none
OG0010_PENK,0,13.01333055974483,0.0402959704029597,0.9795020497950205,0.9999000099990001,0.9883585359412776,42,0.38095238095238093,0.25081907535493264,none
GS0378_REG3A,0,12.812829306612,0.0036996300369963003,0.9981001899810019,0.9999000099990001,0.9981001899810019,95,0.37894736842105264,0.25081907535493264,none
GS0020_AMRP,0,11.760197727664629,0.0695930406959304,0.9665033496650335,0.9999000099990001,0.988098617790954,38,0.3684210526315789,0.25081907535493264,none
OG0208_CXCL7,0,11.652786342057759,0.0451954804519548,0.9761023897610239,0.9999000099990001,0.988098617790954,49,0.3673469387755102,0.25081907535493264,none
OG0228_CCL18,0,9.983027529441802,0.0326967303269673,0.9805019498050195,0.9999000099990001,0.9883585359412776,77,0.35064935064935066,0.25081907535493264,none
GS0046_BORG1,0,9.611970015527143,0.0856914308569143,0.9537046295370463,0.9999000099990001,0.9790078088439118,49,0.3469387755102041,0.25081907535493264,none
OG0165_GIP,0,9.611970015527143,0.0856914308569143,0.9541045895410459,0.9999000099990001,0.9790078088439118,49,0.3469387755102041,0.25081907535493264,none
OG0087_HEPC,0,8.602302990822524,0.0390960903909609,0.9753024697530247,0.9999000099990001,0.988098617790954,95,0.3368421052631579,0.25081907535493264,none
OG0068_COLI,0,8.251425797840067,0.09879012098790121,0.944005599440056,0.9999000099990001,0.9766110559996631,57,0.3333333333333333,0.25081907535493264,none
GS0162_FAM3B,0,8.251425797840067,0.16778322167783222,0.9055094490550945,0.9999000099990001,0.9625287471252875,36,0.3333333333333333,0.25081907535493264,none
OG0042_PAR3,0,8.251425797840067,0.1837816218378162,0.8996100389961004,0.9999000099990001,0.9625287471252875,33,0.3333333333333333,0.25081907535493264,none
GS0011_AIMP1,0,7.676713154161908,0.11498850114988501,0.9291070892910709,0.9999000099990001,0.9739659533217491,58,0.3275862068965517,0.25081907535493264,none
OG0190_PLF4,0,7.628372838338509,0.0481951804819518,0.9693030696930307,0.9999000099990001,0.988098617790954,107,0.32710280373831774,0.25081907535493264,none
