gene,panels
ITGA4,EN
ITGA5,EN
ITGA7,EN
ITGAV,EN
ITGB5,EN
KIF16B,EN
LAMA3,EN
LAMB1,EN
LAMC1,EN
MMP14,EN
MMP15,EN
MMP2,EN
MMP9,EN
PKDCC,EN
RARB,EN
RARRES2,EN
RBPMS2,EN
SETD2,EN
SOX7,EN
CLASP2,MS
CXXC4,MS
DAG1,MS
FGF4,MS
FZD5,MS
GDF3,MS
LMBRD1,MS
LRP5,MS
NPHP3,MS
NR5A2,MS
OTX2,MS
PHLDB1,MS
PHLDB2,MS
POGLUT1,MS
RACK1,MS
SMAD6,MS
TASOR,MS
TENM4,MS
UGDH,MS
