cluster,n_cells
0,227
1,4543
2,441
3,5431
4,222
5,231
6,106
7,470
8,410
9,263
10,522
11,568
12,190
13,2751
14,341
15,247
16,222
17,672
18,230
19,325
20,242
21,246
22,174
23,214
