perturbation,cluster,delta_pct,p_enrich,p_deplete,q_enrich,q_deplete,n_cells,prop_pert,prop_ntc,direction
OG0234_CCL18,0,16.98600645855759,9.999000099990002e-05,1.0,0.03889611038896111,1.0,35,0.2,0.030139935414424113,enriched
GS0458_TTHY,0,15.407059090136535,0.00029997000299970003,1.0,0.05834416558344166,1.0,38,0.18421052631578946,0.030139935414424113,none
GS0329_MANF,0,12.611006458557588,0.0029997000299970002,0.9998000199980002,0.388961103889611,1.0,32,0.15625,0.030139935414424113,none
OG0177_DB110,0,10.779109906833451,0.011498850114988501,0.9988001199880012,0.8314043595640436,1.0,29,0.13793103448275862,0.030139935414424113,none
OG0137_INSL3,0,9.889232265009202,0.015498450154984501,0.9967003299670033,0.8314043595640436,1.0,31,0.12903225806451613,0.030139935414424113,none
OG0231_CXCL7,0,8.524467997019128,0.0453954604539546,0.9907009299070093,0.9810463398104633,1.0,26,0.11538461538461539,0.030139935414424113,none
GS0044_BMP8A,0,8.414577887129017,0.021597840215978402,0.9968003199680032,0.8401559844015598,1.0,35,0.11428571428571428,0.030139935414424113,none
GS0219_GPHB5,0,8.097117569668699,0.004399560043995601,0.9994000599940006,0.4278572142785722,1.0,54,0.1111111111111111,0.030139935414424113,none
GS0436_TN13B,0,7.512322248031272,0.026197380261973803,0.9939006099390061,0.8492317434923174,1.0,38,0.10526315789473684,0.030139935414424113,none
GS0142_CXL13,0,6.986006458557589,0.0170982901709829,0.9966003399660034,0.8314043595640436,1.0,50,0.1,0.030139935414424113,none
OG0207_CCL22,0,6.986006458557589,0.0165983401659834,0.9964003599640036,0.8314043595640436,1.0,50,0.1,0.030139935414424113,none
OG0070_EDN2,0,6.986006458557589,0.0613938606139386,0.9884011598840116,1.0,1.0,30,0.1,0.030139935414424113,none
OG0022_GON2,0,6.986006458557589,0.06059394060593941,0.9871012898710129,1.0,1.0,30,0.1,0.030139935414424113,none
GS0461_ULBP2,0,6.986006458557589,0.05959404059594041,0.9876012398760124,1.0,1.0,30,0.1,0.030139935414424113,none
GS0085_CGB3,0,6.509815982367112,0.0400959904009599,0.9923007699230078,0.9810463398104633,1.0,42,0.09523809523809523,0.030139935414424113,none
GS0062_CCL21,0,6.419968722708533,0.0211978802119788,0.9948005199480052,0.8401559844015598,1.0,53,0.09433962264150944,0.030139935414424113,none
OG0217_CCL3,0,6.361006458557589,0.0688931106889311,0.9857014298570143,1.0,1.0,32,0.09375,0.030139935414424113,none
GS0429_TGFB3,0,6.288332039952937,0.043195680431956804,0.9912008799120088,0.9810463398104633,1.0,43,0.09302325581395349,0.030139935414424113,none
