perturbation,cluster,delta_pct,p_enrich,p_deplete,q_enrich,q_deplete,n_cells,direction
GS0185_FGF4,4,-17.643344097595982,0.9999000099990001,0.00019998000199980003,1.0,0.025930740259307406,75,depleted
GS0187_FGF6,4,-20.51780297205486,1.0,9.999000099990002e-05,1.0,0.019448055194480555,77,depleted
GS0174_FGF16,4,-23.764556218808103,1.0,9.999000099990002e-05,1.0,0.019448055194480555,44,depleted
GS0174_FGF16,9,62.12936686564243,9.999000099990002e-05,1.0,0.007779222077792221,1.0,44,enriched
GS0185_FGF4,9,41.15966989594546,9.999000099990002e-05,1.0,0.007779222077792221,1.0,75,enriched
GS0187_FGF6,9,40.05144478772036,9.999000099990002e-05,1.0,0.007779222077792221,1.0,77,enriched
GS0184_FGF3,9,38.91853514417241,9.999000099990002e-05,1.0,0.007779222077792221,1.0,47,enriched
GS0176_FGF18,9,15.566173960986113,9.999000099990002e-05,1.0,0.007779222077792221,1.0,41,enriched
