cluster,n_cells
0,1004
1,24189
2,1187
3,2486
4,2459
5,1042
6,1078
7,414
8,882
9,716
10,1190
11,1000
12,1365
13,1249
14,1551
15,1435
16,1673
17,684
18,702
19,1846
20,649
21,648
22,804
23,1016
24,2431
25,807
26,910
27,683
28,743
29,618
30,559
31,1127
32,1504
33,908
34,646
35,987
36,644
37,545
38,1509
39,847
40,761
41,1485
42,700
43,884
44,732
45,753
46,715
