sgRNA,Gene,log2FC_Day4_mTeSR_r1_vs_plasmid,log2FC_Day4_mTeSR_r2_vs_plasmid,log2FC_Day7_E6_r1_vs_plasmid,log2FC_Day7_E6_r2_vs_plasmid,log2FC_Day7_mTeSR_r1_vs_plasmid,log2FC_Day7_mTeSR_r2_vs_plasmid,log2FC_Day9_E6_r1_vs_plasmid,log2FC_Day9_E6_r2_vs_plasmid,log2FC_Day9_mTeSR_r1_vs_plasmid,log2FC_Day9_mTeSR_r2_vs_plasmid,log2FC_Day14_E6_r1_vs_plasmid,log2FC_Day14_E6_r2_vs_plasmid,log2FC_Day14_mTeSR_r1_vs_plasmid,log2FC_Day14_mTeSR_r2_vs_plasmid
GS0001_A4_HUMAN,A4,-0.159584366951865,0.1469597864460183,0.0072902642700718,0.025352644749601,-0.1297597242968482,0.2672433025721528,-0.047307418681969,0.2095278355778234,-0.2604450837228818,0.2333125170307131,-0.1815295056338861,-0.1889675220941828,-0.1838817195587658,-0.0788641164348344
GS0002_A4_HUMAN,A4,0.525005807576612,0.5178445464726078,0.6173866625743276,0.4603939565031041,0.5018954624186538,0.7156062537572865,0.545476752322795,0.1889871783522405,0.366329336966233,0.4990243343044565,0.711468001357483,0.2623308887388891,0.7761616594043677,0.5405708103476208
GS0003_A4_HUMAN,A4,-0.8542290400173673,-0.7895658731658397,-0.7566708613388311,-0.7334041445824564,-0.9833704805367454,-0.9379864027568878,-0.7653925422716767,-0.901745585087312,-0.7317278145555495,-1.0998640543635183,-0.8479158047468456,-1.2279691805694828,-0.8615539760916562,-0.9741977427164308
GS0004_A4_HUMAN,A4,0.0327368780246111,0.3365503881857652,-1.0613584164795211,0.3253532247634698,0.5925934665553694,0.370683194685153,-0.921437836627705,0.5553256926205243,0.1990670318340868,-0.0817567951341153,-0.3565567790067003,-0.5280890776519946,-0.1149840081631339,-0.4840402538055368
GS0005_A4_HUMAN,A4,-1.961955521993616,-6.680142882279235,-6.680142882279235,-5.537932993804336,-4.801678418232777,-6.680142882279235,-3.1429851978232444,-3.1910470377347027,-5.505886982912122,-6.680142882279235,-3.035759649574452,-5.668745504626262,-2.4205511233967885,-2.9282962355853708
GS0007_ADA2_HUMAN,ADA2,-1.753422883575138,-2.413117367193254,-1.034717141914366,-2.2800279773739467,-1.65763931706707,-2.02422318650612,-2.8250416679508215,-1.821136594974611,-1.2191697801739505,-1.7160319940583983,-2.611915186074506,-2.2006517547198383,-2.3103745107649765,-1.470023192810178
GS0008_ADIPL_HUMAN,ADIPL,-1.2319070155673568,-1.111516508979566,-1.3793057651493843,-1.861115534728241,-1.9291587148089675,-1.653815437978146,-1.0502532809375609,-2.2160708518060286,-1.3497737821485298,-1.6277860294644206,-1.110379243673954,-1.8419498396714689,-1.5786090452678485,-1.3100156364902436
GS0009_ADIPL_HUMAN,ADIPL,-0.9880994829982566,-1.7936110854889566,-1.4575162377196884,-1.1690516572660314,-1.988813711925851,-1.6399612219719923,-1.1468060534165954,-1.2265423033563128,-1.48611284595892,-1.133201559081563,-1.461714622696543,-1.2237697203725322,-1.8918315037944,-1.0292037320097671
GS0010_ADIPO_HUMAN,ADIPO,-0.6286780732126687,0.0310077159189354,-0.2014842006158126,-0.4429161884112016,-0.0349489799096502,-1.0008336224003518,-0.280712469698642,-0.3507780567826977,-0.8214953969181646,-0.4025611414366032,-0.6205541777935561,-0.4666827006962073,-0.2539643500990696,-0.6567693431262018
GS0011_AIMP1_HUMAN,AIMP1,0.0105238405745033,0.2452937313794603,-0.1543744278630736,-0.1266762460413453,0.0071230084295965,-0.0391712251115929,-0.1193990060346603,-0.0686349203523697,-0.149384862602659,-0.3451523382932944,-0.344183052409587,-0.3499227341609749,-0.2713603297636595,-0.3977155852609471
GS0012_AIMP1_HUMAN,AIMP1,0.8861821162089738,-0.2491370884639492,0.1316386839504124,-0.1284113610735797,0.6926829965257388,0.1914062071248734,0.2445575036360887,-0.397188662024142,-0.5237169898048846,-0.2793870137090106,-0.4671345060988079,-0.3293214819486509,-0.3396627663136593,-0.8740397205257988
GS0013_ALKB1_HUMAN,ALKB1,1.3905186150667657,1.8397131444851471,1.6013243450191457,1.5083919577375298,1.529024011556464,0.0981618180988768,1.6604692594062538,1.5039715889098364,0.7166508460203715,0.2771573932081708,1.1204374912115682,1.1660834717081272,0.7851531834693475,0.2970982140568168
GS0014_ALKL1_HUMAN,ALKL1,-2.268540104027423,-2.203741499770352,-1.8593113106250296,-1.6916718474771013,-2.0674997725562587,-1.8228260114386536,-1.8597666677031623,-1.9189342545412256,-1.699847408414744,-1.85532116058968,-1.819056530046572,-1.891906509588278,-1.7663711963733115,-1.6073042258115908
GS0015_ALKL2_HUMAN,ALKL2,-0.6357849892026763,-0.2732701499235634,-0.5682521039330997,-0.7893195800664294,-0.5587138200782533,-0.0528927009917374,-0.4300888160130345,-0.2874086790222385,-0.1208179210697562,-0.1101669011927235,-0.7059298033736585,-0.3223982753723469,-0.372345854281356,-0.2510145586107217
GS0016_ALR_HUMAN,ALR,-0.7729148086883892,-0.2369029575378096,-0.6577766605073521,-0.5602805479498603,-0.6871156488870369,-0.8386803127081119,-0.439946764076053,-0.5966485535073129,-0.8884694229770158,-0.5777473293630475,-0.7462340467434903,-0.8714884018956752,-0.9156797667234092,-0.8386463591062778
GS0017_AMBN_HUMAN,AMBN,-1.2521984048831394,-1.421813998738168,-2.0550418115453466,-1.8480564020996004,-1.0488880250056516,-1.0157907181739656,-0.914023650857211,-2.046222886237773,-1.3199721313299957,-0.9264910124663092,-1.830266708336015,-1.4153323553056063,-1.1718539041578009,-1.5596826909254888
GS0018_AMELX_HUMAN,AMELX,-1.4498895651664867,-1.0429976847052416,-1.1715197412005214,-1.183609981036735,-0.8523419747713561,-1.048610172338078,-0.9926194356515444,-1.2140431481127898,-0.9553404560392522,-0.9661885638356188,-1.2838546351810385,-1.2544908546142093,-1.18363536764714,-0.7481759885531964
GS0019_AMPR_CONTROL,AMPR,0.2221115835405473,0.0601505767403516,0.1190800661835922,0.0647207426086069,0.0856340891923732,0.0827391219007864,0.0246815419687429,-0.0091868322022872,-0.0137583218185692,0.0656342079409384,-0.0678188223234848,0.0640663990080199,0.0307001561791189,0.0352511518913711
GS0020_AMRP_HUMAN,AMRP,0.7663239047799308,0.0148893089016794,0.3496613530992096,0.3175223629990835,0.2646227442898663,0.0708073628905694,-0.2045979665876078,0.0371381305148084,0.4382278726882838,0.0224925952412391,0.3187615611179968,0.018419650673378,-0.0244315694042764,-0.0121770664983351
GS0021_ANFB_HUMAN,ANFB,1.2106470801251792,1.102046389618291,1.1354371922384043,1.0159164049610343,1.2221611978137918,1.045634886873195,1.0710741461066269,1.08942803878171,0.8372796596300898,1.0344425813938916,0.9686159277060896,1.0101659299160757,1.120800787138892,1.0543265854760977
GS0022_ANGL3_HUMAN,ANGL3,-0.1639718968989267,-0.3472052655280251,0.3876106886947905,-0.1430618282959663,-0.3106816026369969,0.0367845694144097,-0.1824154720370447,-0.4805546966924243,0.3697273112762058,-0.30568975833474,0.17846930068964,-0.4426818010921867,0.3515168226792049,-0.3630061137364357
GS0023_ANGL3_HUMAN,ANGL3,-1.3058178489095449,-1.48177220952992,-1.057601793725869,-1.403583288112921,-1.289659789700142,-1.3321031593165724,-1.343486415526172,-1.5313598123366514,-0.893086435678411,-1.2562898214852467,-1.3693547051768,-2.079888211612313,-1.6768264207922563,-0.9986388181436076
GS0024_ANGL3_HUMAN,ANGL3,-0.2464258684438602,0.1173745995359043,-0.8027648261335791,-2.3445249560765973,0.2676863180654862,-1.759320895761502,-0.4588155346947982,-2.8083462360390268,-1.0706957600443134,-1.4913825825917728,-1.5181558381713804,-1.3212672321096974,-1.2855156647812125,-1.1990926871797667
GS0025_ANGL8_HUMAN,ANGL8,0.3014663004905156,0.0317400247972905,0.0943125516750758,0.2100988808475659,-0.126207138271523,-0.2592516150068444,-0.1648133773271141,-0.1921551184556911,-0.1362069227771805,-0.263524929933725,-0.0064766422450155,-0.2726796593957221,-0.26996251839698,-0.1332624066538628
GS0026_APOA1_HUMAN,APOA1,-0.4384369185531405,-0.7907131284721434,-1.2599632278559838,-0.4615499864588663,-0.6772217905061666,-0.8984230942338307,-0.6476161926808093,-1.1101980183181173,-0.7855326802108777,-0.5508772726487337,-1.4542051797127638,-0.7856527029662956,-0.8636910422920909,-0.5924877948037235
GS0027_APOA1_HUMAN,APOA1,0.488094113125765,0.3194179414143967,-0.1040924353668728,0.055131385724902,0.378612108302832,0.0445201259720082,0.6622763269280245,-0.1925363565967153,0.2335296520320735,0.1982228702897082,-0.2984584766996736,-0.3611118128243884,0.0142827727764096,-0.019891640403344
GS0028_APOA2_HUMAN,APOA2,-0.9368802507934362,-0.6554382089488815,-0.8518401333177756,-0.7636410544154693,-0.7983376506609847,-0.9437724300452306,-0.6683792331416321,-0.9287491325219808,-0.5051911553340851,-1.0137653303493153,-0.9588142631446016,-0.7512907596126439,-0.7834560667193706,-0.5531719787491589
GS0029_APOA2_HUMAN,APOA2,0.2664563822533576,0.0076191936963887,0.3191533314632,0.123787655024703,0.1968337427544231,0.3538682248535174,0.0170082581415176,-0.0345687824804823,0.1738666301471862,0.4118196851761393,0.2699645364764471,0.3322349424048898,0.4600825637132466,0.4295588069634668
GS0030_APOE_HUMAN,APOE,1.4679572008444186,1.600880355275219,0.9369863314380922,0.9453090136339792,1.2035609284015276,0.1703857039017702,1.246341108591439,0.9711223934275656,1.296988244436147,0.7068386523628174,0.6302008643354249,0.9344989353992492,1.6208932259586,0.4966488821865162
GS0031_AREG_HUMAN,AREG,0.3185550278728506,0.3358947932995484,0.3561428016270529,0.3641362534507344,0.7067658074452687,0.1707914277532172,0.7078790583418169,0.3697091574226654,0.3118929950204414,0.2533549497010714,0.2431870086235239,0.2673045117983577,0.1634658218842037,0.5029313658974424
GS0032_ARTN_HUMAN,ARTN,-0.2176580811566939,-0.274775627277636,-0.2111417105082935,0.0579901919326584,-0.471823152798132,-0.3402154675012205,-0.2850210207879158,-0.0889099488024811,0.1541360542434979,-0.0450337254305868,-0.186475127644897,-0.0677849125841696,0.2729106233592304,-0.1668901124471951
GS0033_ASIP_HUMAN,ASIP,0.193920497425605,-0.086029216219444,0.1601695871815565,0.1375994648358744,0.3337741519983392,0.1551603294565406,-0.0285833156907546,-0.0793275667889688,0.085585666209619,-0.1810946041523813,0.121147906666458,-0.2108702368591153,0.2859713022173427,0.0140155379567996
GS0034_BDNF_HUMAN,BDNF,-1.544849042556704,-1.220320507467072,-1.3251506866296694,-1.5282300227735135,-1.5066018599648388,-1.3495106163798989,-1.1978387003418316,-1.5945269688712091,-1.470253067269324,-1.4998674797333766,-1.4808432979620072,-1.86109434536505,-1.507028569522879,-1.4188025968016014
GS0035_BMP1_HUMAN,BMP1,-3.694514474984729,-0.8465135433031885,0.3956669067772647,0.6499601962646806,-1.3681921072315295,0.9183373015297582,0.8464217268735479,1.7442872254417092,0.3127863914659641,1.5136317908029295,1.143981604198125,-0.0887250830440611,0.4045366801682521,1.8834703861131588
GS0036_BMP10_HUMAN,BMP10,0.0456752038476668,0.2865955299406586,0.305440972620234,0.0364276930608618,0.3452283637230273,0.4474673662823836,-0.0433144771765245,0.2156862281325402,0.278499413310902,0.1142002855631076,0.2974311317207085,0.2860449458859406,0.3945158180831285,0.2906684044291516
GS0037_BMP15_HUMAN,BMP15,-1.1556065080184317,-1.0165015933370238,-0.6865746478030985,-0.8711874790149494,-0.881343069091935,-0.8624972193741218,-0.7567287873442972,-0.9594694416829874,-0.8642225022072232,-1.1623144118825888,-1.0305897113707996,-1.1460754649852287,-1.017750179045752,-1.0216368770799529
GS0038_BMP2_HUMAN,BMP2,-0.4778943332452066,-0.6998482499286602,-0.7549363852483477,-0.7194119952929956,-0.3577408256166556,-0.6397301488427765,-0.5216505271548879,-0.9050077487821256,-0.5910931566227955,-0.7111076878224853,-0.6740120182862377,-0.9680618157187304,-0.5887433742868353,-0.7554002155076347
GS0039_BMP3_HUMAN,BMP3,-1.2233765303619482,-1.809195175979247,-1.5756752134920573,-1.568357449367154,-2.0804781613081698,-2.0852225451966717,-1.4074488301277075,-2.1379101863139187,-1.175305174573861,-1.823880090759612,-1.245998672198496,-2.02654912269903,-1.4858475317390305,-1.928229026788812
GS0040_BMP4_HUMAN,BMP4,-0.028105992841084,0.0407944125066226,-0.5766636490825654,-0.1337787341060448,0.1123186571072913,-0.0681387752078332,-0.3067575198159247,-0.2279260254142414,0.0331545130149226,0.0808729396723499,0.0222726931558217,-0.2638226451922634,0.1295047040969521,0.1197438461451394
GS0041_BMP5_HUMAN,BMP5,0.0018206869595278,0.6149233703956618,0.1128616880565633,0.1775331403625006,0.2719846558691543,0.1795193266940824,0.3059471163692748,0.15134755881183,0.0821362885324994,0.4759575579376793,0.1932538423860954,0.1229564419240425,0.0354847391281403,0.6205879675075021
GS0042_BMP6_HUMAN,BMP6,0.2101688434552766,0.165470408954043,0.1190605918651321,0.206207519106595,0.0934376511521168,-0.1753227390052796,0.2545719365823977,0.062039129926191,-0.111267533347755,0.1325990405089836,0.2849379041884727,0.590560490003174,-0.0537559159281197,0.28611142014317
GS0043_BMP7_HUMAN,BMP7,-0.1927112714961989,-0.1435696341329198,-0.6663028142337293,-0.5230370876502892,-0.6142196261160304,-0.0078262056627824,-0.242957535358677,-0.6542262247652513,-0.2581642806413793,-0.2615893747968751,-0.2712852558836438,-0.3124558684651077,-0.3986860586471543,-0.3169973138892175
GS0044_BMP8A_HUMAN,BMP8A,-0.7714266076089338,-1.4185503293478536,-0.8203749531792699,-0.9229735897706242,-1.4205726748335683,-1.5047398199945548,-0.9232116648591386,-1.446671239157883,-0.9605313805188622,-1.336665335465474,-1.2215475272434766,-1.2197011660735164,-1.15736138471358,-1.6026930806186144
GS0045_BMP8B_HUMAN,BMP8B,-1.9536158892828943,-1.5553496278111003,-0.7648353381259287,-1.319471161350469,-0.1447511708946836,-0.7683775453692645,-0.6054339227327494,-0.6749229502214389,-0.5947588157838943,-0.885824115170669,-1.157935513349717,-2.1372978749104092,-0.4326140256987658,-0.5193200830126647
GS0046_BORG1_HUMAN,BORG1,-0.7256586224752137,-0.8111475439020079,-1.2674831864870253,-0.9833236323032448,-1.1311843461827298,-0.8877275973405538,-1.375116137801795,-1.6740552048281607,-0.9536565938120294,-1.1308056158959268,-1.2447533729465745,-0.8977650040231389,-1.0760863123819089,-1.0508145540922271
GS0047_BTC_HUMAN,BTC,1.5048246357643684,1.6477484952577708,1.6447196603870855,1.547309389664795,1.5238707697487772,1.6593790423746402,1.76757580900912,2.138335831710558,1.5120503581812097,1.6038086911238771,1.928795060748836,2.119323072756659,1.7876619042752695,1.8499754532744517
GS0048_C1QT4_HUMAN,C1QT4,-1.6111271945343049,-1.1811742269655934,-1.6736465550150357,-0.3789382585364595,-1.5921689004549735,-0.7317421927372862,-2.335954625292607,-0.389570602107641,-1.8162939237725224,-1.061970263194512,-1.6631635069622046,-0.7846577349187562,-1.8749199684660471,-1.0531944038827756
GS0049_C1T9A_HUMAN,C1T9A,-0.5181498561504227,-0.5472128992196925,-0.7334400734864435,-0.1525041612813815,-0.8742692026198764,-0.2733242413907888,-0.4066999846202801,-0.0706830795339321,-1.017957329640076,-0.1721928646045309,-0.8374432124708502,-0.0936771281082187,-0.4861650155371322,0.0067543230738227
GS0050_CART_HUMAN,CART,0.0221044646812611,-0.1491116175553486,0.0604328872690071,0.2047592472677273,-0.0654588940146343,0.2291502146739255,-0.0569817234949248,0.1730155809782534,-0.0598264203933052,-0.0053631361158501,0.1784554769961452,0.0820597657020165,0.3421919029324485,0.1859557099695798
GS0051_CATG_HUMAN,CATG,0.1141018952084955,0.0653086376645486,0.3283025947079121,-1.1050740638313066,0.1480731625907125,-0.125571185120398,-0.1289227816333937,-0.3792475617678086,-0.0509549450790967,-0.3243819206257949,-0.2930997295006126,-0.7782809720990951,-0.5924629484075279,-0.3183555488311569
GS0052_CCKN_HUMAN,CCKN,0.4238339778893394,0.5875269560858598,0.502859570564036,0.8816911610409619,0.7543564395152664,0.7056199200327953,0.5317128673805023,1.019750394857386,0.4507373789604738,0.8581105781919707,0.4484358235705006,0.7328455874793391,0.8549935578585774,0.7007264987900648
GS0053_CCL11_HUMAN,CCL11,-0.5205604228967182,-0.9886416970468036,-0.6140263105952091,-0.9113514928630764,-0.922669377824759,-0.7834367495804528,-1.0354562852857023,-0.9496746782411308,-0.7911719232825583,-0.8875122506756767,-0.4778794580617784,-0.8379689301343269,-1.02341744307439,-0.8894897964560791
GS0054_CCL13_HUMAN,CCL13,-0.2316410964815123,-0.2112813406631044,-0.3781588131370288,-0.1908425282272006,-0.2945906741422401,-0.3522532085021765,-0.216392824003595,-0.3487313783003536,-0.4477319198576097,-0.1810700261428071,-0.3980668084345371,-0.2723058365067636,-0.4112369524239945,-0.1262790019007198
GS0055_CCL13_HUMAN,CCL13,-1.0144925919022183,-0.8565001270890011,-0.8832581417368761,-0.8717434133629869,-0.6559297680034923,-0.9562159353214296,-0.8040138730068769,-0.5635606168032972,-0.8724349403969178,-1.002674996296097,-1.0816511332133183,-0.8471897726191777,-0.7164179018625667,-1.3383411212567644
GS0056_CCL13_HUMAN,CCL13,1.005864161504796,1.180452842370208,1.1472556000103662,1.1794418944225562,1.3863466454966955,1.1835895299526005,1.0413206551197156,1.1196520084136825,1.368887926184259,1.1293783769545875,1.1172329270262047,1.0995953614281095,1.5410838417249089,1.1706205138428185
GS0057_CCL14_HUMAN,CCL14,0.6430025150221557,0.486183481609828,0.0961330925005974,0.4347048006668803,0.4624519568589544,0.5169037098559883,0.3499166213999114,0.4585656948736609,0.0119443622030637,0.6229105424498176,0.3074938822598483,0.2953307629532578,0.0123414576183122,0.4479732188872027
GS0058_CCL15_HUMAN,CCL15,0.5680847235565665,0.5389612744537153,0.3790431105667498,0.4383380874918803,0.3175950225044968,0.6248139790612424,0.3405428367334444,0.3743350042805549,0.3316154741385571,0.4653591845225886,0.3366335154245092,0.4083488611441037,0.4752497543710561,0.4862490558624124
GS0059_CCL16_HUMAN,CCL16,-0.496422789103649,-1.2835761781148136,-0.7014614047104466,-0.7664625382263051,-1.22330115245137,-1.1927781057693387,-1.0041650949937484,-1.1425389550467298,-0.6731102869468089,-0.8805979675291997,-0.6738827908117297,-1.075652450185137,-0.7533481751782141,-0.7337555434751817
GS0060_CCL19_HUMAN,CCL19,-1.8257488721588435,-1.955323475247475,-1.758541005922341,-1.9457963531269105,-2.221737656709344,-2.178146871015013,-1.9246411674036636,-2.444936725872747,-1.656620581932465,-2.0655068088304613,-1.469578043801958,-1.8869267780561485,-1.7296320256599351,-2.0489827114196935
GS0061_CCL2_HUMAN,CCL2,-0.7875524885719773,-0.6061693167502309,-0.9482153855026816,-0.75639101372734,-0.6822803542835238,-0.7485736801725444,-0.6643263374491664,-0.7407338419341549,-0.4638078914456667,-0.7797668335007337,-0.7301142406440135,-0.7959800606289704,-0.6306632883424559,-0.7729662716966281
GS0062_CCL21_HUMAN,CCL21,-1.2149764563113123,-1.6939570276633678,-1.1988682047180017,-1.6324785766994587,-1.3000191992350183,-1.4963263419593194,-1.2915336375962545,-1.8078574056589731,-1.4042328617318436,-1.396708818971666,-1.286698227090513,-1.7359066599084532,-1.332970573295574,-1.279391371404197
GS0063_CCL23_HUMAN,CCL23,0.493632017210631,0.8820371841088086,0.6456031742183637,0.7245117242017134,0.7328328898847492,0.8723509679486199,0.7898824865712193,0.721355364157434,0.7114868656222288,0.973945187624924,0.3852078227889102,0.7236204335336982,0.5811138590955913,0.7615712608805634
GS0064_CCL23_HUMAN,CCL23,-0.4360086282647497,-0.498017296727431,-0.3231666891512841,-0.2863107674130187,-0.060411911340104,-0.3846098249082956,-0.271021148682756,-0.2038949797495615,-0.1239734933542067,-0.2814327793641116,-0.1993606389084448,-0.2228637547466849,0.0987505849458063,-0.4370840535027067
GS0065_CCL23_HUMAN,CCL23,-1.6200127480979578,-1.483365786239597,-1.3834902124106616,-1.259560801552226,-1.3340604775842149,-1.292743966383247,-1.3555071491051385,-1.648182635151196,-1.2480763430393669,-1.5583641524804683,-1.7366982402337694,-1.5645921251392814,-1.5848579664113591,-1.1191357951087877
GS0066_CCL24_HUMAN,CCL24,1.6644279646339708,1.600001224515475,1.6324090034274708,1.2992021061106271,1.2239230759752573,1.488026065185716,1.5842650089022283,1.5445626424793648,1.4617024047925398,1.378179844576465,1.529551682591455,1.4703178922311668,1.3615663681701289,1.5261084675646472
GS0067_CCL25_HUMAN,CCL25,-1.3320256251184637,-1.971498310146254,-1.8475746337611376,-1.4227514113728414,-2.418888484947523,-1.7217487504985964,-1.770267526287828,-2.0498023986312983,-1.456130278048379,-1.652848629347094,-1.8867282046775016,-1.5463713098661866,-1.5366028441143378,-1.6811659991756116
GS0068_CCL27_HUMAN,CCL27,1.2303305302481444,1.0949755978289488,0.9851041082148626,0.7828617793418697,1.226648974007846,0.8622128858160103,0.928807981777764,0.7714910938354453,1.0343212058960187,0.9251885880552226,1.1372138959639209,0.7616849828063099,1.028698852864295,0.7027654550623552
GS0069_CCL28_HUMAN,CCL28,-0.6817995828685852,-0.8105902987083446,-0.3749740902007499,-0.601072791207331,-0.2986795254777501,-0.2870276540599121,-0.6742274019715904,-0.6604022021658089,-0.7364716931853614,-0.4943826741655517,-1.1414717102554288,-0.7129996185029466,-0.6606437929706885,-0.3680647329486781
GS0070_CCL7_HUMAN,CCL7,-0.9793890598922133,-0.8570253060641164,-0.9770917833936874,-0.5764982746405849,-0.9135442917602408,-0.9102031919593632,-1.0225882427759905,-0.9713443777751056,-0.9935985418180486,-0.801263652620122,-0.9682899231425016,-1.2152909790163855,-1.014173549159045,-0.7966931586153567
GS0071_CCL8_HUMAN,CCL8,2.442946037439905,2.637843954975624,2.2936039268353845,2.357084641203153,2.3360186127123175,2.449670024315342,2.4453492718917538,2.4428804322133413,2.518489188284022,2.273287222281793,2.22506462983079,2.3183165412635383,2.479832055571073,2.24651352367664
GS0072_CCN3_HUMAN,CCN3,-1.805239833057791,-1.5177887826778278,-2.0946493854291877,-1.5253888375085518,-2.0190136363599755,-0.9322429962267228,-2.422460835148083,-1.465128197723904,-2.206862707780946,-1.771291643617256,-1.935779188365312,-1.2649325960659388,-1.6241724136107845,-1.8498658587380188
GS0073_CCN6_HUMAN,CCN6,-0.7495098529076927,0.128635487648812,-0.8271007215393356,-0.9177291119823304,-1.0994280831890224,-1.116675953598934,-0.3335880629374639,-1.4715497581943184,-1.7593686880405794,-0.7633982337645531,-1.1123168977151323,-1.5101418671347115,-2.022977370266341,-1.444047545513671
GS0074_CD320_HUMAN,CD320,-0.84962235446854,-0.1591144685466279,-2.594336053275919,-0.7467517568157547,-0.982234230931624,-3.0274698271200573,-1.9686059344039128,-1.1247461386896962,-1.2237984291985606,-2.0507872544405146,-3.315089065454658,-1.2310253592241531,-1.641766757427047,-1.436427443770513
GS0075_CD40L_HUMAN,CD40L,-0.9315929837295692,-0.885842041527896,-0.943256471001547,-0.5448561788519868,-0.8112642253636935,-0.5760905558038605,-0.7552105515093022,-1.0304848158187685,-0.8204947191277405,-0.8311247788874088,-0.7149655418544185,-0.6980275131197029,-1.1526968837515437,-0.7894176042457755
GS0076_CD40L_HUMAN,CD40L,-1.6118890674343795,-1.3284984275639955,-0.9341272518470696,-1.146528457477627,-1.1277783067227638,-1.0410621048243804,-0.897084199844258,-1.4332362409448187,-1.0102723546293344,-1.4269930173002248,-0.7713521201326543,-2.181948424639221,-1.1294851720254275,-1.4777541720682343
GS0077_CD70_HUMAN,CD70,-0.0280730587933835,-0.0429368216923293,-0.039018248034381,-0.0530850080463984,-0.4705400853078814,-0.2267980983413924,-0.1491701917667853,-0.1467070030648081,0.2970563027188948,-0.1070815676126226,0.1241888690573311,-0.2416156634828485,0.0370744775931601,0.226467330710502
GS0078_CD70_HUMAN,CD70,-1.635827675040327,-1.1352499457799097,-1.2898512457785678,-0.9724344378786968,-1.6208375095654954,-1.1974671723069932,-1.437935596807737,-1.3199836494338797,-1.3262804232967742,-1.3828113636671464,-1.1227629996802069,-1.013173524525394,-1.4562998232480169,-0.9305998988154744
GS0079_CD80_HUMAN,CD80,-0.3911234127938368,-0.1745008529046394,0.2282153585798934,-0.2979994417136424,0.088019270736213,-0.5208521962617816,0.2677219816566776,-0.0682684994892568,-0.341553346183101,-0.47528768127464,-0.4942699400518844,-0.5659207338431003,-0.3545234367535723,-0.63600436984159
GS0080_CD86_HUMAN,CD86,0.3340988280611796,0.3541216417475841,0.2724327208609018,0.3931120314577825,0.0359514535431273,0.572971749739752,0.181509252905716,0.2323009761673198,0.3247945703493951,0.6677952581213518,0.0968208474016805,0.1792744782263415,0.4305601115447857,0.36004668959729
GS0081_CDNF_HUMAN,CDNF,1.4284481747864035,1.5433694548160997,1.2164585521030684,1.4700482569706352,1.3963251031806596,1.3721418382022517,1.188697936058313,1.2622017428977657,1.244778313858644,1.3945141689095326,1.07171983383361,1.1507384489310724,1.062768050379633,1.246764843495166
GS0082_CER1_HUMAN,CER1,-0.7075655966373624,-0.6928422470639823,-1.9182316314138337,-0.9454649272709172,-1.4230677785672556,-1.0727401425635454,-1.212411836599303,-1.1335852694098598,-1.01147306317832,-0.6679306439165504,-1.6919110036050728,-1.468345119053235,-0.7837474362788566,-1.0466496142612574
GS0083_CGB1_HUMAN,CGB1,0.1761931216834025,0.8294730314369971,0.7787918338965945,0.146955357081401,0.5230319032780582,0.3541744250733671,0.830997055731741,0.3672548693596251,0.6044815108392871,0.650792044277889,0.4463633320492004,-0.2304622267939056,0.785706129350979,0.5483408793788804
GS0084_CGB2_HUMAN,CGB2,-0.8661704170757147,-1.2068563119625466,-1.1022374184222112,-0.939211599839263,-0.98907401819287,-1.3503046635233389,-1.2067370087644882,-1.312950856362324,-1.2621364525742162,-0.9888584839212182,-1.452638619862194,-1.4718016778266083,-1.227884837397294,-0.9986487965648668
GS0085_CGB3_HUMAN,CGB3,-1.3923120619030254,-0.8403392917003689,-1.1278567401749964,-0.9695768721414452,-1.1446379390655412,-0.7065348433240093,-1.3957895828543787,-1.2552210698676394,-0.6895773793517002,-0.4988506027458346,-1.3316114913592525,-1.1042341644009444,-0.5894134609418291,-0.4531832756542755
GS0086_CGB7_HUMAN,CGB7,0.1794690371208336,0.4836758630088145,0.396424358926696,0.3587769095885651,0.4057919798377902,0.2653611976422176,0.4479260835022689,0.1708196943427786,0.8802159946123957,0.2814715973022998,0.2639822146453472,-0.2337618642314058,0.6270533326955778,0.384094932690104
GS0087_CKLF_HUMAN,CKLF,-0.0776592982488662,0.2216012976408858,-0.1763851116238761,-0.108434780327105,0.3245477738375353,-0.3129139518668626,0.0250187068574518,-0.1171376302619915,-0.4903612598488287,0.1062673408706871,-0.2391812358377762,-0.3609438805980645,-0.3099298792605864,-0.1269733728136071
GS0088_CKLF1_HUMAN,CKLF1,-0.3934175253335539,-0.2162984486349355,0.0567101903931348,-0.0690262045359322,-0.5598338330336556,-0.4265179990597971,-0.3259132167419452,-0.3836196828901386,0.0144616934828487,-0.4064247458631644,-0.2190594543283914,-0.2542764223231781,-0.3322092156320124,-0.2357053017526773
GS0089_CKLF2_HUMAN,CKLF2,-0.8948853753351607,-0.97899669624719,-0.9723686434390686,-0.3301874730469372,-1.252742723562486,-1.2158553930219798,-0.2965544144553611,-0.566346360143509,-0.8062669901418946,-0.865722922479069,-0.9627460958235864,-0.9370806928893708,-0.9219040690995436,-1.0335924904746427
GS0090_CKLF3_HUMAN,CKLF3,-0.3673254447170446,-0.407186066025087,0.0975811338097027,-0.1848296722700748,-0.2041145834498792,-0.4317193546419329,-0.011905290963833,-0.5158725340589694,-0.423786828803534,-0.4247922808237003,0.0410370933423251,-1.010659811040011,-0.3029014749197465,-0.2948389183283311
