sgRNA,Gene,log2FC_Day4_mTeSR_r1_vs_plasmid,log2FC_Day4_mTeSR_r2_vs_plasmid,log2FC_Day7_E6_r1_vs_plasmid,log2FC_Day7_E6_r2_vs_plasmid,log2FC_Day7_mTeSR_r1_vs_plasmid,log2FC_Day7_mTeSR_r2_vs_plasmid,log2FC_Day9_E6_r1_vs_plasmid,log2FC_Day9_E6_r2_vs_plasmid,log2FC_Day9_mTeSR_r1_vs_plasmid,log2FC_Day9_mTeSR_r2_vs_plasmid,log2FC_Day14_E6_r1_vs_plasmid,log2FC_Day14_E6_r2_vs_plasmid,log2FC_Day14_mTeSR_r1_vs_plasmid,log2FC_Day14_mTeSR_r2_vs_plasmid
GS0259_IL12B_HUMAN,IL12B,-0.366468183203338,-0.1177336996540709,-0.2445309142220058,0.3866997289599503,-1.4755437055074925,0.1455506114072395,-1.0548000817314769,-0.0312789658434145,-1.099587095072847,0.2760477061478781,-0.652212892048464,-0.3818180548403411,-1.1650303455041249,0.5346490318159347
GS0260_IL13_HUMAN,IL13,-0.7125656713698056,-1.1178130519936469,-0.5466731069168578,-0.4606374455667303,-0.5742005851001846,-0.6331978751338703,-0.78946578187883,-0.7016785504495253,-0.4477318526355081,-0.4678960231417548,-0.7577473551648026,-0.7970077938020452,-0.4592757508421758,-0.4234410771152426
GS0261_IL15_HUMAN,IL15,-1.9911956077045632,-1.695782991333589,-1.8970636575835125,-1.53604937588519,-2.0267989804274222,-1.8103158275238032,-1.870325678878462,-1.6960973665900116,-1.4780667984674023,-1.8659422333212048,-2.1193985582937724,-1.8120434990946812,-1.7368840768820863,-1.4903584651145056
GS0262_IL16_HUMAN,IL16,-0.0529704534154173,0.4136135284446176,0.3895094169115882,0.219196987159437,0.2357409285557246,0.4594282615101068,0.2309193622570937,0.4112168126938282,0.3894171528823662,0.6243632973941313,0.3321801440601444,0.3850133243533555,0.3245379697582446,0.4586476075701302
GS0263_IL17_HUMAN,IL17,-0.5267187441087966,0.0351074967443683,-0.1076242829492528,-0.47519803508467,-0.2141521007310665,-0.4107819207410461,-0.0455259398506999,-0.586051429967883,-0.3035682440236034,-0.5595613619476243,-0.5576151333197412,-0.6757292517846896,-0.6354407000461162,-0.5854667881187119
GS0264_IL17B_HUMAN,IL17B,-1.605346906864849,-2.5859580316209465,-2.1217087110609825,-2.7533331024774004,-2.5766212592962443,-2.2072442212929495,-2.3154873960558593,-2.9277665965273574,-1.3158624549245663,-2.189420495382141,-2.5195832165531664,-2.529114344288738,-2.10545897077127,-2.3450290150151076
GS0265_IL17C_HUMAN,IL17C,-0.9574858070966368,-1.0772938648974844,-0.9263744073897352,-0.5160420162684431,-0.7373627256764443,-0.5536986256034186,-0.5111113246487591,-1.184481861445848,-0.7127428107512976,-0.8609749643877809,-0.7963784924060082,-0.6256206662587083,-1.016927763421556,-1.1681753969959452
GS0266_IL17D_HUMAN,IL17D,-0.6451886776173588,-0.3981203668977429,-0.7181448660824579,-0.7539339631141555,-0.8528057881091513,-0.4684379678789057,-0.4063692732428698,-0.6978687188171051,-0.5273240803251245,-0.6043766280795673,-0.7265246499106883,-0.6516614808370278,-0.5879200528245736,-0.4234825314917358
GS0267_IL17F_HUMAN,IL17F,-2.3101103844549247,-1.2587488139418603,-1.402606217275153,-1.479283957546958,-1.4293688397801247,-1.24014997698883,-1.2010839227787322,-1.558285596151645,-1.2890857071464996,-1.295676339757092,-1.8985951867808932,-1.5297251613874965,-1.366009055614514,-0.917257943058825
GS0268_IL18_HUMAN,IL18,-0.6908502617262169,-0.7149843730915215,-0.443755428878605,-0.7207515491941887,-1.2858698341003336,-1.3040623344188074,-0.4657105122754714,-1.1536909998048603,-0.6592020591182965,-0.7025522696398667,-0.6041249038216439,-1.0355643578862672,-0.784153104615875,-0.893662228996126
GS0269_IL19_HUMAN,IL19,0.9766129923343492,0.8095757028305712,0.7239546903629837,0.9916384681057852,0.9795487625289764,0.5973535346376995,0.5946255920804262,0.8540946644675795,0.6604538109685052,0.863986779883291,0.4557373369090598,0.711590395461025,0.7949514496415109,0.8083542479502253
GS0270_IL1A_HUMAN,IL1A,-2.0691049063815967,-1.6700502097969745,-2.1912209705618046,-1.97996884483503,-1.5899293880707663,-1.856325199300892,-1.7308342373199466,-2.0509683579883653,-2.1960021415145192,-2.0132009875742725,-2.2092404066777576,-1.8815542011251785,-2.1904152704497335,-1.935323941521423
GS0271_IL1B_HUMAN,IL1B,0.6056598907384689,0.3462396132840357,0.6968853722032566,0.3272474539158967,0.6941181370104808,0.1762164291336976,0.6480191376897277,0.77078078235985,0.523158698989663,0.3888506253651709,0.373500610724168,0.2991414043380818,0.5623712218263197,0.4498820146763833
GS0272_IL1FA_HUMAN,IL1FA,0.0649874500245459,-0.2759987416301186,-0.1582619407133787,-0.2209049274512935,-0.3871839402696171,0.0526123187522991,-0.1327698212381758,-0.3300390825915027,-0.1887397499371843,-0.1491138753717571,-0.2184355814098246,-0.2401368257111809,-0.2697809212107014,-0.1103893999044203
GS0273_IL1RA_HUMAN,IL1RA,-0.6158337959285145,0.0656247249015926,-0.4045344391813081,-0.3116904651077679,-0.2910938148563762,-0.2306413370745286,-0.2168481750183168,-0.3652787826883408,-0.2917094469940817,-0.0515263733152764,-0.3476855768279172,-0.5319449332717454,0.1723847410731611,0.2186496184193078
GS0274_IL2_HUMAN,IL2,-0.9820816633157587,-1.3840174341878608,-1.1069212984269132,-1.1388692689305362,-1.1976473870079154,-0.9737274876109812,-1.18204875781686,-0.9446567576214592,-1.1796026661451684,-1.2927686501928832,-1.5007103487769644,-1.4810317064326437,-1.3144313933032574,-0.9788136819045016
GS0275_IL20_HUMAN,IL20,1.459294283548077,1.2999026193304513,1.099007046645907,1.49125796958789,1.6819314626262152,1.7819401994583617,1.3876662073764976,1.753757954910304,1.4987904283084248,1.026065619827623,0.9161011907499644,1.6688697950058948,1.50037109537765,0.961590648268416
GS0276_IL21_HUMAN,IL21,-0.632287638825499,-0.9744490025535004,-0.8611498230917007,-0.8529077154966931,-1.0894548466187626,-0.9041955192408722,-1.0356056535739595,-0.6290944424909188,-0.5239864791998361,-0.8243817575869965,-1.346719068810584,-1.3814463276604716,-0.998095900793107,-0.8196782910252889
GS0277_IL22_HUMAN,IL22,-1.7806300748286592,-1.5121511141687662,-1.7002282977891667,-1.1348934078430215,-1.1064404459216508,-1.4833297769551113,-1.141203932208274,-1.888971365718005,-1.180672742191259,-1.7653102940955474,-1.842562623624925,-1.7065245356832277,-1.1799026490636066,-1.8439592869973644
GS0278_IL23A_HUMAN,IL23A,-0.1305601268726111,-0.3349556436152134,-0.3266738006324203,-0.2465857946956422,-0.409930616453714,-0.6129207175980138,-0.2908711381810445,-0.4851968566051496,-0.4482889627333115,-0.2882909961981479,-0.3320634850963664,-0.2059272365751443,-0.2365612192750088,-0.3474916256690861
GS0279_IL24_HUMAN,IL24,0.8388361060578955,1.0839516490321923,0.8389815538377956,0.972049135139308,1.083402378591252,0.9420971535310354,0.8162381099664842,0.8834250785980107,1.0256029062101,0.881292903700313,0.7865370274187793,0.6712628430658523,1.088636168808586,0.8218211232749653
GS0280_IL25_HUMAN,IL25,0.764480118231976,1.0286836076765231,0.8617588891782049,0.2966008962399229,0.4228270887094165,0.9056269034375736,0.9498889805307495,0.667691572000578,0.5420778750051767,0.7580753887800107,0.5810822409610754,0.6731269615671405,0.7105251578926186,0.7004987934174487
GS0281_IL26_HUMAN,IL26,-0.5646976561798311,-0.8250236221409573,-0.8053596154285483,-0.7484465764635289,-0.9423440035355668,-0.448044439654975,-1.04812122414336,-0.9061344630212068,-0.4284170890112726,-0.5252872821299075,-0.984369888436655,-1.107148414602051,-0.722986013396433,-0.8590745227006664
GS0282_IL27A_HUMAN,IL27A,0.9231108331484954,1.2005926576314945,0.8793378625678478,1.370654710521208,1.5069027437598024,0.8333303097770113,1.1196263434324043,1.3194732985674804,0.9087883278828102,1.2446285824599332,0.8988744368342889,1.124765225417324,1.2287216791912456,1.2720015710970607
GS0283_IL27B_HUMAN,IL27B,-0.953834273592408,-1.0467168816019896,-1.108931422881895,-1.3132914221115983,-1.0779856356341924,-1.350089528699261,-1.0277393477647756,-0.9120325877229368,-0.6573986273551018,-0.6436270434072959,-0.8776458411204917,-1.136974695822845,-1.017066517967093,-1.0634958987446694
GS0284_IL3_HUMAN,IL3,-0.625233603571159,-0.3432307780453669,-0.4314387029405875,-0.613693046283128,-0.3203702339719427,-0.7429519573823402,-0.6633232359597265,-0.7136747934576189,-0.321386744205677,-0.6356643105934019,-0.7382076678884015,-0.8349018593682196,-0.5789087718480133,-0.7877591946050906
GS0285_IL31_HUMAN,IL31,-1.6172052048369352,-2.0676008359372062,-1.495941425697671,-1.7654288846370854,-1.9685551893406965,-2.0732100634967416,-1.7840833128023077,-2.1416877483544,-1.560561123462966,-1.7422884107059886,-1.5664199205889575,-2.117766986231862,-1.7921263220835133,-1.7611354391535023
GS0286_IL32_HUMAN,IL32,-0.0460744059467881,0.2942323360481662,0.0558046745406155,-0.0047626508755662,-0.2859271593552819,0.1552134742924789,-1.1484575087755458,0.0826908515367144,0.4125913998902657,0.0700567000600376,-0.2316627880780419,-0.3072578738108955,0.2615928071213496,-0.3199051253415383
GS0287_IL33_HUMAN,IL33,-0.4386002074787001,-0.3933147825816441,-1.2029217700107644,-0.2058399205282022,-0.1998121569623734,-0.4227464321849083,-0.7577584967967059,-0.4885479386125499,-0.4220046642967201,-0.5178228961155238,-1.2828125171123703,-0.6634981846485069,-0.7613429669088081,-0.5086443832348841
